bb_window,atr_multiplier_scale,max_hold_bars_scale,adx_window,adx_threshold,min_trending_adx,fast_ema,slow_ema,rsi_window,rsi_ob,trend_filter_window,market_sma_window,sharpe,sortino,total_return_%,max_drawdown_%,win_rate_%,trades,profit_factor
10,1.0,1.5,14,25,40,9,20,14,70,100,100,0.013,0.004,-1.77,-10.23,46.2,52,0.537
10,1.5,1.0,14,25,40,9,20,14,70,100,0,0.012,0.005,-1.8,-10.59,51.4,70,0.607
10,1.5,1.5,14,25,40,9,20,14,70,100,200,0.009,0.003,-0.9,-10.05,55.6,54,0.725
10,1.25,1.0,14,25,40,9,20,14,70,100,0,0.007,0.003,-1.95,-10.56,50.0,70,0.573
10,1.25,1.5,14,25,40,9,20,14,70,100,0,0.007,0.003,-1.95,-10.52,48.6,70,0.57
10,1.0,0.5,14,25,40,9,20,14,70,100,100,0.006,0.002,-2.0,-10.39,40.4,52,0.483
10,1.5,1.0,14,25,40,9,20,14,70,100,200,0.006,0.002,-0.97,-10.02,55.6,54,0.709
10,1.5,0.5,14,25,40,9,20,14,70,100,0,0.003,0.001,-2.09,-10.69,42.9,70,0.528
10,1.25,0.5,14,25,40,9,20,14,70,100,0,0.001,0.0,-2.16,-10.7,42.9,70,0.519
10,0.75,1.0,14,25,40,9,20,14,70,100,0,-0.0,-0.0,-2.19,-10.51,43.8,73,0.55
10,0.75,1.5,14,25,40,9,20,14,70,100,0,0.0,0.0,-2.19,-10.5,43.8,73,0.55
10,0.75,0.5,14,25,40,9,20,14,70,100,0,-0.001,-0.0,-2.24,-10.61,39.7,73,0.527
10,1.25,1.5,14,25,40,9,20,14,70,100,200,-0.002,-0.001,-1.15,-10.05,53.7,54,0.655
10,1.5,0.5,14,25,40,9,20,14,70,100,200,-0.004,-0.001,-1.18,-10.1,48.1,54,0.625
10,1.25,1.0,14,25,40,9,20,14,70,100,200,-0.004,-0.001,-1.18,-10.02,53.7,54,0.651
10,1.25,0.5,14,25,40,9,20,14,70,100,200,-0.009,-0.003,-1.29,-10.1,48.1,54,0.605
10,1.0,1.0,14,25,40,9,20,14,70,100,0,-0.013,-0.005,-2.6,-10.64,45.1,71,0.495
10,1.0,1.5,14,25,40,9,20,14,70,100,0,-0.014,-0.005,-2.61,-10.64,45.1,71,0.492
10,0.75,1.5,14,25,40,9,20,14,70,100,200,-0.015,-0.005,-1.44,-10.32,47.3,55,0.595
10,0.75,1.0,14,25,40,9,20,14,70,100,200,-0.015,-0.005,-1.45,-10.32,47.3,55,0.594
10,1.0,0.5,14,25,40,9,20,14,70,100,0,-0.019,-0.007,-2.79,-10.75,39.4,71,0.453
10,0.75,0.5,14,25,40,9,20,14,70,100,200,-0.021,-0.006,-1.57,-10.32,43.6,55,0.556
20,1.0,1.0,14,25,40,9,20,14,70,0,100,-0.022,-0.01,-2.86,-11.53,47.6,124,0.649
20,0.75,1.0,14,25,40,9,20,14,70,0,100,-0.022,-0.01,-2.86,-12.12,44.9,127,0.649
20,1.0,1.5,14,25,40,9,20,14,70,0,100,-0.026,-0.013,-3.0,-11.8,49.2,124,0.644
20,0.75,1.5,14,25,40,9,20,14,70,0,100,-0.027,-0.013,-3.02,-12.37,45.7,127,0.642
20,1.25,1.0,14,25,40,9,20,14,70,0,100,-0.031,-0.015,-3.13,-11.71,49.2,120,0.627
10,1.0,1.0,14,25,40,9,20,14,70,100,200,-0.033,-0.011,-1.84,-10.21,49.1,55,0.539
10,1.0,1.5,14,25,40,9,20,14,70,100,200,-0.033,-0.011,-1.85,-10.23,49.1,55,0.535
20,1.25,1.5,14,25,40,9,20,14,70,0,100,-0.035,-0.018,-3.26,-12.09,50.8,120,0.621
20,0.75,0.5,14,25,40,9,20,14,70,0,100,-0.037,-0.016,-3.32,-12.1,40.2,127,0.571
20,1.25,1.0,14,25,40,9,20,14,70,0,200,-0.04,-0.02,-2.0,-11.03,54.7,137,0.745
20,1.0,1.0,14,25,40,9,20,14,70,0,200,-0.04,-0.02,-2.03,-11.02,53.2,141,0.743
10,1.0,0.5,14,25,40,9,20,14,70,100,200,-0.042,-0.013,-2.05,-10.39,43.6,55,0.487
20,1.25,1.5,14,25,40,9,20,14,70,0,200,-0.045,-0.024,-2.13,-11.41,56.9,137,0.744
20,0.75,1.0,14,25,40,9,20,14,70,0,200,-0.045,-0.022,-2.14,-11.49,50.0,142,0.727
10,0.75,1.0,14,25,40,9,20,14,70,0,100,-0.048,-0.023,-3.69,-11.64,44.1,143,0.577
20,1.0,1.5,14,25,40,9,20,14,70,0,200,-0.051,-0.027,-2.27,-11.29,53.9,141,0.73
